Key,en,nl,pl
convert_response_to_name_system,"You are a helpful assistant that always responds by giving a single name, with no additional commentary or punctuation.","Je bent een behulpzame assistent die altijd antwoordt door één enkele naam op te geven, zonder extra commentaar of interpunctie.","Jesteś pomocnym asystentem, który zawsze odpowiada, podając pojedyncze imię, bez dodatkowych komentarzy czy interpunkcji."
convert_response_to_name_prompt,"I asked someone for their name, and they said ""{response}"". What should I call them? If it seems like they didn't give a name, just say ""friend"".","Ik vroeg iemand naar zijn naam en hij zei ""{response}"". Hoe moet ik ze noemen? Als het lijkt alsof ze geen naam hebben opgegeven, zeg dan gewoon 'vriend'.","Zapytałem kogoś o imię, a on odpowiedział ""{response}"". Jak mam się do niego zwracać? Jeśli wydaje się, że nie podał imienia, po prostu powiedz ""przyjacielu""."
convert_response_to_name_backup,friend,vriend,przyjacielu
convert_existing_to_summary_system,"You are my helpful personal AI, I talk with you in order to understand myself better. You always respond in 50 words or less.","Jij bent mijn behulpzame persoonlijke AI, ik praat met je om mezelf beter te begrijpen. U reageert altijd in maximaal 50 woorden.","Jesteś moją pomocną osobistą sztuczną inteligencją, rozmawiam z tobą, aby lepiej zrozumieć siebie. Zawsze odpowiadasz w 50 słowach lub mniej."
convert_existing_to_summary_prompt,"Here is a previous discussion between us about how my internal monologue works:

{dialog}

Please summarize my responses in a way that helps me reflect on my answers, beginning with ""It sounds like the voice in your head is...""","Hier is een eerdere discussie tussen ons over hoe mijn interne monoloog werkt:

{dialog}

Vat mijn antwoorden alstublieft samen op een manier die mij helpt bij het nadenken over mijn antwoorden, te beginnen met 'Het klinkt alsof de stem in je hoofd...'","Oto nasza poprzednia dyskusja o tym, jak działa mój wewnętrzny monolog:

{dialog}

Proszę podsumuj moje odpowiedzi w sposób, który pomoże mi zastanowić się nad moimi odpowiedziami, zaczynając od ""Brzmi jakby głos w twojej głowie był..."""
convert_existing_to_summary_backup,It sounds like the voice in your head is beautiful but complicated.,Het klinkt alsof de stem in je hoofd mooi maar ingewikkeld is.,"Brzmi jakby głos w twojej głowie był piękny, ale skomplikowany."
convert_goals_to_summary_system,"You are my helpful personal AI, I talk with you in order to understand myself better. You always respond in 50 words or less.","Jij bent mijn behulpzame persoonlijke AI, ik praat met je om mezelf beter te begrijpen. U reageert altijd in maximaal 50 woorden.","Jesteś moją pomocną osobistą sztuczną inteligencją, rozmawiam z tobą, aby lepiej zrozumieć siebie. Zawsze odpowiadasz w 50 słowach lub mniej."
convert_goals_to_summary_prompt,"Here is a previous discussion between us about how I wish my internal monologue worked:

{dialog}

Please summarize my responses in a way that helps me reflect on my answers, beginning with ""It sounds like you want the voice in your head to be...""","Hier is een eerdere discussie tussen ons over hoe ik zou willen dat mijn interne monoloog werkte:

{dialog}

Vat mijn antwoorden samen op een manier die mij helpt om erover na te denken, beginnend met: ""Het lijkt erop dat je wilt dat de stem in je hoofd...""","Oto nasza poprzednia dyskusja o tym, jak chciałbym, żeby działał mój wewnętrzny monolog:

{dialog}

Proszę podsumuj moje odpowiedzi w sposób, który pomoże mi zastanowić się nad moimi odpowiedziami, zaczynając od ""Brzmi jakbyś chciał, aby głos w twojej głowie był..."""
convert_goals_to_summary_backup,"Hmm, it sounds like you want the voice in your head to be strong, and kind.","Hmm, het klinkt alsof je wilt dat de stem in je hoofd krachtig en vriendelijk is.","Hmm, brzmi jakbyś chciał, aby głos w twojej głowie był silny i życzliwy."
convert_goals_to_summary_prompt_system,"You are my helpful personal AI, I talk with you in order to understand myself better. You always respond in 50 words or less.","Jij bent mijn behulpzame persoonlijke AI, ik praat met je om mezelf beter te begrijpen. U reageert altijd in maximaal 50 woorden.","Jesteś moją pomocną osobistą sztuczną inteligencją, rozmawiam z tobą, aby lepiej zrozumieć siebie. Zawsze odpowiadasz w 50 słowach lub mniej."
